,login,fork_num,commit,star
0,akiselev,1,34621,26
0,ranquild,0,0,0
0,kulyk,11,33554,0
0,WiNloSt,36,85952,2
0,nemanjaglumac,18,29500,7
0,noahmoss,4,120,0
0,alxnddr,7,42301,0
0,gusaiani,23,51738,63
0,jeff303,48,89685,2
0,howonlee,26,41217,0
0,ariya,8,5099,400
0,camsaul,46,65149,5
0,adam-james-v,3,89,0
0,daltojohnso,13,11161,0
0,jeff-bruemmer,0,0,0
0,dpsutton,46,9201,0
0,frannietrempe,1,3458,0
0,rlotun,15,267319,20
0,flamber,2,3886,0
0,pawit-metabase,1,46,0
0,escherize,36,7369,1
0,iethree,9,60068,3
0,paoliniluis,4,4100,0
0,gvwilson,15,1279,15
0,mazameli,3,10845,0
0,tsmacdonald,34,10250,2
0,qnkhuat,32,85429,1
0,losrebellos,10,3549,7
0,paulrosenzweig,6,889,0
0,kdoh,17,89659,0
0,kidd,139,113562,371
0,robdaemon,19,9996,2
0,walterl,24,47155,2
0,ellie-metabase,0,0,0
0,Opalevanescence,2,16326,0
0,sbelak,20,5383,0
0,dianaafanador3,6,16392,0
0,tgoyne,14,16318,7
0,leemaguire,1,2068,1
0,kneth,18,27139,1
0,danieltabacaru,0,0,0
0,pavel-ship-it,0,0,0
0,mpobrien,53,141128,17
0,ericjordanmossman,2,2095,0
0,jsflax,14,5328,0
0,DominicFrei,9,657,0
0,jedelbo,8,27892,2
0,finnschiermer,1,8,0
0,kraenhansen,33,88219,1
0,fealebenpae,12,51510,0
0,stennie,117,91022,13
0,nirinchev,21,6594,0
0,bmunkholm,5,8902,0
0,qubblr,12,6192,0
0,heyzooi,51,106702,1
0,artem-alexandrov,3,4623,0
0,cmelchior,29,26689,33
0,osianSmith,7,7761,0
0,irace,11,2248,52
0,SandyChapman,29,40599,4
0,phoney,13,24857,0
0,bdash,6,10181,1
0,kishikawakatsumi,17,2196,53
0,jgavris,11,103628,19
0,crontab,1,47,0
0,mbalex99,63,70789,23
0,geoffmacd,24,42687,6
0,austinzheng,15,16848,16
0,icanzilb,47,67300,53
0,mohuilin,72,169146,1
0,gcox,24,14116,1
0,fawadsuhail,4,2534,0
0,BenjaminKim,22,26288,0
0,bigfish24,13,10138,1
0,emanuelez,31,62060,6
0,jpsim,82,98397,38
0,larkost,13,38573,1
0,nathan-contino-mongo,32,21380,1
0,aviwarner,9,27145,2
0,d-date,72,71440,3
0,nahive,2,2069,0
0,1amageek,62,105060,7
0,pixelchef,20,22731,0
0,TimOliver,63,54649,55
0,dimazen,18,13508,5
0,andkon,26,115423,1
0,tebica,5,9402,1
0,noisypigeon,0,0,0
0,0xced,222341,302,417
0,stel,8,4539,0
0,radu-tutueanu,1,151,0
0,teotwaki,22,15399,4
0,ryanhornik-as,1,2068,0
0,rokgregoric,32,34231,59
0,jdanthinne,23,5574,0
0,morten-krogh,0,0,0
0,mrackwitz,83,161217,15
0,sora0077,30,39087,3
0,AnthonyMDev,45,29064,16
0,bnickel,18,107818,25
0,koyachi,20,24091,6
0,esuEichi,14,57517,0
0,adomanico,0,0,0
0,beeender,32,126997,1
0,lesyk,82,174908,7
0,RafaelPlantard,31,8363,0
0,danielgindi,92,165504,309
0,IljaKosynkin,2,5755,0
0,skydivedan,13,27315,0
0,JadenGeller,0,0,0
0,zaki50,44,33545,14
0,ZhengzheYang,11,10228,0
0,johnma14,17,83351,0
0,lambdai,37,49109,1
0,zirain,23,18794,0
0,howardjohn,87,132032,12
0,litong01,20,22738,18
0,stevenctl,31,56541,6
0,ceastman-r7,1,6283,0
0,bianpengyuan,29,28711,0
0,ericvn,25,47313,0
0,dddddai,21,22435,0
0,nmittler,29,71504,1
0,Monkeyanator,40,100806,0
0,ramaraochavali,16,21485,0
0,costinm,60,61563,5
0,frankbu,9,56839,0
0,lgadban,8,10878,1
0,ruigulala,16,99296,2
0,lei-tang,27,70549,0
0,zhlsunshine,10,9990,0
0,hzxuzhonghu,72,159801,14
0,shankgan,8,54838,0
0,douglas-reid,35,22396,1
0,therealmitchconnors,46,40298,11
0,esnible,24,17565,0
0,yangminzhu,25,32621,0
0,morvencao,59,98078,1
0,ostromart,17,43565,0
0,richardwxn,28,46841,0
0,hanxiaop,21,79178,0
0,myidpt,27,28952,6
0,liminw,19,29065,0
0,jacob-delgado,22,15684,0
0,irisdingbj,20,50074,0
0,Kmoneal,24,16787,0
0,aryan16,10,35726,0
0,jtrbs,7,7334,0
0,kebe7jun,29,72531,0
0,GregHanson,23,25538,0
0,nmnellis,29,35689,1
0,dgn,34,22762,0
0,mandarjog,42,69126,2
0,linsun,45,71293,7
0,nicole-lihui,7,41550,0
0,justinpettit,7,9595,12
0,ZhiHanZ,84,185831,4
0,brian-avery,62,274530,0
0,sergii-ssh,8,8263,0
0,Shikugawa,41,33814,0
0,stewartbutler,16,12377,0
0,zackzhangkai,23,123749,1
0,nielsole,44,82920,7
0,jwendell,91,150969,4
0,su225,26,89608,3
0,yingzhuivy,9,66838,0
0,tbarrella,16,19353,0
0,eliavem,7,11891,0
0,zhaohuabing,41,74698,4
0,xulingqing,17,23918,0
0,kyessenov,54,53093,0
0,sunbit,16,3096,0
0,JimmyCYJ,45,321616,0
0,jasonwzm,48,57355,0
0,incfly,35,37657,1
0,adiprerepa,10,11391,0
0,zufardhiyaulhaq,38,87812,2
0,devincd,9,40343,0
0,silenceshell,71,171348,3
0,ChenglongGao327,15,85134,0
0,nak3,70,91580,0
0,jmazzitelli,48,30444,1
0,gy95,23,142151,0
0,S-Chan,7,33904,0
0,JoshVanL,50,67299,1
0,williamaronli,8,9474,0
0,kailun-qin,78,109001,0
0,ryantking,50,142162,2
0,shamsher31,41,84071,0
0,akshitgrover,35,170285,5
0,nrjpoddar,37,49399,5
0,chizhg,93,194846,0
0,qfel,9,14318,0
0,wzshiming,80,143870,9
0,lizan,74,129467,6
0,sridharlreddy,11,26159,1
0,domcyrus,12,41151,0
0,zhongfox,17,27177,3
0,smwyzi,2,12,0
0,shivanshu1333,42,156710,2
0,xichengliudui,135,321105,1
0,rveerama1,6,10885,0
0,dbgoytia,13,108100,0
0,elfinhe,13,14433,0
0,zerobfd,7,8774,0
0,DineshKrishnanG,1,6283,0
0,PiotrSikora,88,86582,39
0,carolynhu,32,18821,0
0,yanniszark,37,65845,1
0,gargnupur,14,13187,0
0,aattuluri,11,14078,0
0,josephpeacock,9,14356,0
0,panjf2000,7,77965,21
0,sdake,50,75643,1
0,liwenhao0810,6,6844,0
0,daixiang0,53,114981,0
0,sunzhaochang,11,54751,0
0,sel-vcc,7,13939,0
0,craigbox,41,100388,3
0,chethan-89,2,1033,0
0,diogormendes,14,7866,0
0,npfitz,20,12517,1
0,john-metabase,0,0,0
0,alazier,6,23131,1
0,segiddins,162,197992,21
0,kspangsege,1,2069,0
0,GreatApe,7,6524,0
