,login,reponum,code,star,commit,Objective-C,Clojure,Java,Go,JavaScript,Swift
0,akiselev,5,7418,2,33,0,0,0,0,0,0
0,ranquild,1,199,0,25,0,0,0,0,0,0
0,kulyk,3,16939,0,548,0,0,0,0,15442,0
0,WiNloSt,46,395470,7,1102,0,0,0,0,0,0
0,nemanjaglumac,4,5259030,3,22857,0,9213181,2685,0,6894043,0
0,noahmoss,5,13960816,0,733,0,0,0,0,0,0
0,alxnddr,2,40039,0,8,0,0,0,0,0,0
0,gusaiani,82,1723299,169,3944,0,0,0,0,0,0
0,jeff303,9,16997,21,50,0,0,6919,0,0,0
0,howonlee,79,4423199,80,3044,0,0,0,0,0,0
0,ariya,8,407506,29294,2384,0,0,0,0,11119,0
0,camsaul,51,1580139,618,1577,0,74210,0,0,0,0
0,adam-james-v,24,1194318,203,393,0,0,0,0,0,0
0,daltojohnso,12,90368,0,202,0,0,0,0,2845363,0
0,jeff-bruemmer,5,4881,2,113,0,0,0,0,0,0
0,dpsutton,33,79919,58,2633,0,0,0,0,0,0
0,frannietrempe,1,1317,1,416,0,0,0,0,0,0
0,rlotun,3,1330,82,24,0,0,0,0,0,0
0,flamber,0,0,0,0,0,0,0,0,0,0
0,pawit-metabase,0,0,0,0,0,0,0,0,0,0
0,escherize,58,6023637,282,776,0,0,0,0,0,0
0,iethree,45,6413498,16,924,0,0,0,0,35690,0
0,paoliniluis,10,29662,4,26,0,0,0,0,4642,0
0,gvwilson,27,11581914,498,5809,0,0,0,0,311483,0
0,mazameli,4,112219,0,53,0,0,0,0,2981328,0
0,tsmacdonald,36,3275935,24,14255,1347048,0,0,0,0,0
0,qnkhuat,64,21432826,282,2232,0,0,0,0,446157,0
0,losrebellos,5,26373,8,256,0,0,0,0,0,0
0,paulrosenzweig,6,244766,62,88,0,0,0,12068,0,0
0,kdoh,82,1618113,177,2029,0,0,0,0,0,0
0,kidd,15,248929,16,240,0,0,0,0,18370,0
0,robdaemon,16,435455,8,88,0,0,0,0,0,0
0,walterl,20,180347,53,1343,0,0,0,0,0,0
0,ellie-metabase,0,0,0,0,0,0,0,0,0,0
0,Opalevanescence,17,275982,0,359,0,0,0,0,0,0
0,sbelak,5,1702,257,235,0,0,0,0,0,0
0,dianaafanador3,10,3049358,1,18,60389,0,0,0,0,0
0,tgoyne,13,894040,41,16055,0,0,0,0,0,0
0,leemaguire,1,800,0,3,0,0,0,0,0,4547
0,kneth,20,1334654,23,241,0,0,0,0,0,0
0,danieltabacaru,0,0,0,0,0,0,0,0,0,0
0,pavel-ship-it,3,11040,0,31,5437,0,0,0,0,52757
0,mpobrien,51,543714,43,1901,0,0,0,0,0,0
0,ericjordanmossman,1,1565,0,13,0,0,0,0,0,17408
0,jsflax,17,928590,3,347,0,0,0,0,67,0
0,DominicFrei,20,2795298,1,19586,702,0,0,0,0,74365
0,jedelbo,1,375,0,11,0,0,0,0,0,0
0,finnschiermer,1,2875,20,172,0,0,0,0,0,0
0,kraenhansen,40,232963,39,470,0,0,0,0,0,0
0,fealebenpae,2,1079601,2,5,95625,0,0,0,0,0
0,stennie,7,135035,31,35,0,0,0,0,0,0
0,nirinchev,24,362337,48,238,0,0,0,0,0,0
0,bmunkholm,2,386,1,65,0,0,0,0,0,0
0,qubblr,3,637,2,10,0,0,0,0,0,13696
0,heyzooi,19,638244,5,353,132843,0,0,0,0,0
0,artem-alexandrov,1,152,0,3,0,0,0,0,0,0
0,cmelchior,14,234444,230,475,0,0,334615,0,0,0
0,osianSmith,6,1113301,16,90,0,0,0,0,0,2688
0,irace,61,984924,626,1660,136493,0,0,0,0,0
0,SandyChapman,10,18971,23,88,0,0,0,0,0,0
0,phoney,5,26603,0,64,131776,0,0,0,0,258588
0,bdash,6,10173,27,224,0,0,0,0,0,0
0,kishikawakatsumi,111,41587758,20109,5155,1819790,0,0,0,0,0
0,jgavris,3,1788,182,53,0,0,0,0,0,0
0,crontab,14,63969,11,948,0,0,0,0,16453,0
0,mbalex99,57,2822249,206,1099,0,0,0,0,10280913,0
0,geoffmacd,15,170426,114,882,2680910,0,0,0,0,0
0,austinzheng,13,45641,3500,427,3545,0,0,0,0,0
0,icanzilb,57,552082,9081,1256,10505,0,0,0,0,0
0,mohuilin,16,575635,106,4916,0,0,0,0,0,0
0,gcox,0,0,0,0,0,0,0,0,0,0
0,fawadsuhail,5,4314,2,48,0,0,0,0,0,14001
0,BenjaminKim,6,73143,411,1028,0,0,0,0,0,0
0,bigfish24,14,208594,694,681,276922,0,0,0,0,0
0,emanuelez,10,15389,33,461,0,0,187938,0,3448,0
0,jpsim,50,1186415,6710,3686,244280,0,0,0,0,341875
0,larkost,2,78931,1,17,0,0,0,0,0,0
0,nathan-contino-mongo,9,22959,1,84,0,0,0,0,0,0
0,aviwarner,27,590295,6,267,0,0,0,0,25967,0
0,d-date,22,104109,94,167,0,0,0,0,0,0
0,nahive,16,358894,162,404,0,0,0,0,1481,0
0,1amageek,91,563775,2706,4978,229734,0,0,0,0,0
0,pixelchef,11,25002,1,305,0,0,0,0,122654,0
0,TimOliver,69,617644,9231,4470,1907977,0,0,0,0,0
0,dimazen,15,31653,61,129,83694,0,0,0,0,0
0,andkon,28,869153,4,2103,99230,0,0,0,0,0
0,tebica,9,39611,7,728,0,0,0,0,0,0
0,noisypigeon,1,5,0,3,0,0,0,0,0,0
0,0xced,30,396582,6813,2620,9445,0,0,0,0,0
0,stel,6,45642,108,90,40642,0,0,0,0,0
0,radu-tutueanu,1,38989,1,244,0,0,0,0,72809,0
0,teotwaki,17,172925,9,680,0,0,0,0,37394,0
